android,swing,java,javascript
-304.8958191007976,-458.9387724266252,-389.0498004177632,-510.9949939060901
-366.0481557511988,-514.7862373020849,-427.57535626397765,-395.32914594386693
-204.5502985243248,-379.6512450097687,-430.51756743475346,-610.9442093206042
-361.50142375517055,-511.9183454066473,-367.8083470590328,-528.3874361611173
-325.8894943598091,-348.44960183735174,-578.4782281934002,-673.8346201558213
-326.69905439649983,-633.6250950611749,-371.42050800148354,-478.1354363177663
-404.79753559115045,-551.8582695324469,-369.8209224241812,-599.1243244929968
-437.28160135954914,-348.3921594417716,-412.5093083649416,-503.5222179863957
-325.4760720642644,-410.4384978744952,-503.1314440629077,-477.0875341056595
-362.79641653241833,-332.75184897577844,-472.76007923247755,-529.6482667885118
-342.2061908489594,-382.142266495479,-328.1350876436671,-502.30453820326693
-427.29140745304437,-507.01106245596816,-691.7245964362598,-455.9653186765985
-399.3242892895679,-544.4086847961244,-391.6108874719509,-518.6824494505323
-378.50863726656144,-523.7089413525607,-402.1394864533339,-499.87042472407865
-358.3342181924928,-428.38160577758936,-348.1715091687022,-473.93831114191596
-334.50514953603124,-387.2915755920001,-443.3125339550679,-519.4274319178147
-332.14066387479943,-465.52518488628243,-248.76456160541898,-553.3773752692789
-381.55628731765347,-525.425949096382,-434.70655243778737,-585.541754832468
-334.3048370197532,-454.17233306251626,-419.31097880739435,-489.33250797195046
-423.6035833026972,-527.0892999557044,-418.08556341860367,-530.4954287242504
-207.7611708622506,-394.0023992824915,-386.9753908111338,-494.4272640392202
-405.14599939919475,-360.71935512082,-374.0841299686078,-410.42018910474917
-334.8828017582414,-488.2526905183899,-354.643986817468,-486.43604142498594
-408.33453776877263,-621.4447498966977,-487.9884678722513,-454.7681216553868
-303.01100546093454,-428.57427055971016,-390.88176499852193,-582.0561295404814
-492.6015894622426,-403.5669825802775,-458.59028112266174,-640.3381501283219
-385.03088962239065,-400.6099648460798,-460.2515785107119,-541.7268410175172
-433.98742690107474,-460.20757656159583,-304.857917319092,-480.412038209468
-258.5825338094386,-386.2955030600057,-378.33256146693486,-482.9521077904932
-277.55837988922826,-515.5532495510935,-362.98061977455103,-556.7519794558655
-350.8102930960038,-383.03665479867215,-512.9992127487669,-527.2715722773931
-284.8852855983159,-425.5492219779001,-383.31322665486033,-488.9253021494745
-383.29713918026187,-525.7816829128828,-424.37435700314484,-584.1555488194988
-313.39530229646954,-453.31342780641506,-368.8247401954524,-489.3989718100081
-289.85352459482425,-586.5394740328221,-361.72486038430304,-442.42545013979054
-374.1718879147496,-460.1934122136814,-271.0850154605245,-584.8417206755607
-571.0467569529142,-435.4426698906976,-340.8203801315261,-455.6664034799621
-302.8034950117151,-475.0013724146719,-379.03417035092326,-564.0890787143854
-353.0067300875145,-407.9617428616679,-298.024977128096,-641.5875337440007
-471.4965628014594,-345.39299145663506,-536.5913200163884,-423.96748270840226
-342.25531883790285,-435.0756772832079,-431.12332087083416,-682.7177441012533
-358.89439026797834,-297.82466849465,-360.833137014409,-637.2969287659424
-293.4507786401765,-441.3777364990716,-531.3386493859521,-640.6143215929171
-332.13259889291896,-361.51875119200577,-404.0557833904078,-538.250293624789
-381.1362021649635,-409.59500204158985,-414.62712655215785,-400.8772846796655
-287.6869548289664,-352.3573775315591,-427.9945006820464,-489.9363263885942
-388.10213481130967,-452.1658910553963,-441.23505424508556,-516.2180130626682
-373.3256585869917,-497.6201886169675,-364.2472047856718,-511.15365040109464
-299.5234523921522,-545.3858673996364,-268.5502248478192,-520.812904660274
-283.3173082276155,-455.3220549898773,-458.23639985597197,-423.78612455901805
-317.2113044841765,-398.6574076249022,-329.14433455802566,-514.5536679220501
-263.62045116417625,-267.9449409584757,-339.23538368820834,-434.99489231576604
-513.2271790165546,-365.1943301421096,-295.43865594398784,-440.3583061770952
-276.55732759142734,-394.97427163600287,-445.552594047382,-499.62329009386417
-396.9027464142564,-399.81979760205945,-604.3382793536412,-530.2588433761347
-500.8650934232131,-466.49109400008894,-584.6661953599744,-560.3837484635886
-351.73298381801203,-423.09330385265514,-304.6389373374238,-399.62921848013025
-311.3856444156575,-465.594956254845,-323.97733846486966,-580.4182216773363
-339.99617395251335,-394.68010504746485,-476.79404093030996,-439.8687962201162
-354.51150859997057,-521.5283012240861,-358.42276985877834,-345.94216835734926
-342.0347880992755,-517.6334914665161,-478.6891994619725,-593.5732153271106
-348.66000536335423,-383.18025484777297,-359.71558302390486,-528.5309032067089
-355.7933481039197,-294.1442025414002,-461.66135998780743,-513.9755972121816
-470.85318770053084,-376.71991092113444,-488.6006791820183,-640.4660184029494
-344.17087002786013,-501.4102447394797,-636.2399296814401,-437.53470390840687
-374.71223670080735,-421.0889886919828,-286.27902778411885,-498.3023649326245
-442.83158013825897,-468.3773197163081,-344.7625871826459,-470.1356864646456
-289.2691877251726,-439.0619994853872,-425.1046922758897,-469.8129882194276
-381.06400171777955,-492.36024316541403,-471.7631354893907,-549.851647139725
-366.69002068458684,-620.4658996183828,-562.311296489102,-533.8102550214066
-429.41477206349816,-454.9255621743605,-441.89735171574046,-461.32112144104997
-520.3352116682429,-438.39074680428706,-377.0658322556956,-605.1183443274914
-293.0354870613562,-376.89711213119597,-380.1344926924808,-479.577838607372
-354.04874780642365,-485.1131234681329,-347.45286096645054,-531.8570636682024
-381.23912987658355,-438.8869652934894,-429.1115560442698,-601.7401027865706
-427.4918709071021,-443.6142012648535,-412.2360277262704,-573.676837814067
-334.4792513789283,-460.87753965882405,-313.19001777394953,-484.52840553731716
